method,seed,round,budget,hypervolume,igd,n_nondominated,objective_spacing,archive_input_diversity,last_batch_diversity
random,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
random,0,1,36,0.27284,0.25516521650759694,18,0.17492863724048027,0.48164348832289944,0.4846564564663085
random,0,2,48,0.27889,0.2357581453205688,22,0.17213499265635415,0.49455434202047877,0.49772712336209257
random,0,3,60,0.28189,0.2313055351373428,25,0.16217303896586077,0.4868098316276893,0.513094961644909
random,0,4,72,0.28311,0.22643947175429227,31,0.1436429314458635,0.47637049523473146,0.4939185972559896
random,0,5,84,0.31856,0.20866195395347029,31,0.13583813170924425,0.47299328839976895,0.5182048645308586
random,0,6,96,0.32274,0.2000930377184063,29,0.13679328412388111,0.4532160477244431,0.469389949855628
random,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
random,1,1,36,0.11915,0.308264243482143,18,0.08277154587992773,0.4470591492158945,0.440723558018546
random,1,2,48,0.14309,0.26113748088731664,19,0.15941570654356962,0.4484764395783787,0.4630301895757831
random,1,3,60,0.15069,0.2608215477922601,21,0.1481035381919731,0.45488095219533564,0.4975140423292119
random,1,4,72,0.15453,0.24561567372754625,22,0.15265632137909435,0.45718283040872265,0.4424399201502003
random,1,5,84,0.1838,0.22021642511024409,24,0.10518785030698075,0.45632967310056843,0.515134188874257
random,1,6,96,0.2023,0.21618704104581768,23,0.12146064827982869,0.454755466112583,0.5017988220885525
random,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
random,2,1,36,0.22376,0.24591211591828188,13,0.24998023020773483,0.47544098268200685,0.48122794582928075
random,2,2,48,0.24201,0.24096891744439614,17,0.20989384044897838,0.4530506855177853,0.4470442493977222
random,2,3,60,0.25949,0.22524148985500766,23,0.18697888874657922,0.42854000513348955,0.43217961373933417
random,2,4,72,0.26007,0.2217175810656465,21,0.19941261862637455,0.41748024678432444,0.4911471242499308
random,2,5,84,0.374,0.1955995851152106,27,0.16361554796609296,0.42558971538704166,0.5152744935962856
random,2,6,96,0.38078,0.17155022273051487,31,0.17578898719240033,0.43603930187684437,0.4894709824296744
random,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
random,3,1,36,0.16118,0.27729502667332195,12,0.12435896595763307,0.4487690301632365,0.5121640394571769
random,3,2,48,0.17238,0.2388872839508215,18,0.15438810407011075,0.4382666414108438,0.4453828324435352
random,3,3,60,0.24285,0.22220789189880422,24,0.1213762498800377,0.44585072136694476,0.4823620922371126
random,3,4,72,0.24301,0.21966333782412265,28,0.1167154349459612,0.45090588118358554,0.47080988488782965
random,3,5,84,0.2577,0.2082580891323917,26,0.11962249000073508,0.4545992055270264,0.47417804979871875
random,3,6,96,0.26607,0.20302545588168167,28,0.12194019760611419,0.44365668681533127,0.48950494263897026
random,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
random,4,1,36,0.20837,0.231253579918545,18,0.10932242260421057,0.4262365210140594,0.4167114724068818
random,4,2,48,0.209,0.2294146913313364,20,0.11499122801036407,0.4387148598903601,0.5005415774806792
random,4,3,60,0.23504,0.21196820704410904,23,0.1213130779342573,0.4475101321623233,0.486131238144075
random,4,4,72,0.24193,0.19944031583110164,25,0.1319435663607707,0.4508502631829801,0.5176022399194615
random,4,5,84,0.2434,0.20292208640864112,23,0.13513839015624254,0.4596177111700871,0.4924903660828691
random,4,6,96,0.27799,0.19288757667065606,26,0.13712268364301422,0.4452156988928638,0.4581045756343796
sobol,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
sobol,0,1,36,0.30334,0.2460236419539188,14,0.22404017436674845,0.5038123974891265,0.5023164943599373
sobol,0,2,48,0.4003,0.21054039206135233,17,0.18371908553023505,0.491251925518504,0.5156719245619907
sobol,0,3,60,0.40501,0.19601912824542242,22,0.15900129428131102,0.4656459363678464,0.49820864480605004
sobol,0,4,72,0.40949,0.18621777881754983,25,0.16678075545974505,0.45753892274857927,0.5073609415971277
sobol,0,5,84,0.4121,0.18383365392624276,28,0.15529344247768098,0.4558549815635329,0.52598672378023
sobol,0,6,96,0.42044,0.1732883893038316,28,0.14508669273217925,0.45793578454757905,0.5154562925745046
sobol,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
sobol,1,1,36,0.19776,0.2816626187643661,18,0.08785798845431672,0.4569832429182866,0.5032057561823791
sobol,1,2,48,0.31362,0.23111544711497412,17,0.12286819181814883,0.4480589892810002,0.5054825608990574
sobol,1,3,60,0.32804,0.21538896098414576,23,0.12197943858170797,0.43927981875385796,0.4863700118495495
sobol,1,4,72,0.34532,0.21710638405906665,22,0.08923210029191103,0.4378280193825818,0.5214954758525275
sobol,1,5,84,0.34868,0.21162177379866465,24,0.09411605191682403,0.43515817994284395,0.5384522538007753
sobol,1,6,96,0.3984,0.18974443351328332,27,0.10415450084438742,0.43177975897351567,0.46206401080607873
sobol,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
sobol,2,1,36,0.26807,0.22617358674060445,19,0.19531447689477727,0.46889718595993757,0.5101020894440562
sobol,2,2,48,0.27418,0.2204146015198354,21,0.17197198897905,0.47057499380530343,0.4943368406828512
sobol,2,3,60,0.27538,0.21482085539939996,25,0.16493608588197345,0.47139818824019497,0.5125484150582528
sobol,2,4,72,0.28182,0.2024550467217248,28,0.16350533998987268,0.468431325392463,0.5012666594355286
sobol,2,5,84,0.29615,0.1950334119939395,28,0.15807827382189427,0.4384288579950177,0.5086772285905425
sobol,2,6,96,0.29692,0.19096924419832276,29,0.15678489305592358,0.4284923031765163,0.5013776160149734
sobol,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
sobol,3,1,36,0.16035,0.28587646354763707,15,0.0835297549312714,0.43973384094562823,0.5051639611225236
sobol,3,2,48,0.17062,0.2812501561437612,21,0.09567509833655896,0.4569115290855759,0.491234017690429
sobol,3,3,60,0.29978,0.23005538368792175,25,0.10746305338174597,0.45196337594375713,0.5196372315999874
sobol,3,4,72,0.31978,0.21908757719488373,25,0.11130469420395254,0.4617052808886499,0.49944848820893817
sobol,3,5,84,0.34887,0.20444770388518102,25,0.10903194664622151,0.4797947996749495,0.5222685448920938
sobol,3,6,96,0.35112,0.19488017222063336,29,0.10492144918405359,0.46972451574826574,0.5093038747541156
sobol,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
sobol,4,1,36,0.29847,0.22814565644911633,17,0.10486110616848544,0.49058080735908716,0.4998766017720077
sobol,4,2,48,0.36213,0.1976934050270776,19,0.09416245495830138,0.4676534749707334,0.5269063219235939
sobol,4,3,60,0.36337,0.19347469511333862,21,0.09982446559848311,0.46571949628427484,0.49778669321907965
sobol,4,4,72,0.3652,0.18247218502515036,25,0.09960187783207455,0.4570120152254386,0.5000568576522202
sobol,4,5,84,0.37643,0.16905019343442632,29,0.09884854345629478,0.4509861124675084,0.5072189999091781
sobol,4,6,96,0.38324,0.16994980938171148,27,0.10861214508671278,0.43275475642381567,0.4924047849243469
scalarisation,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
scalarisation,0,1,36,0.37646,0.2351450658623874,16,0.11874043788430849,0.4973252167809226,0.46056233609801744
scalarisation,0,2,48,0.42954,0.2161781930872725,22,0.145523199446936,0.48839157775853254,0.5201255102325173
scalarisation,0,3,60,0.4712,0.18822413361982812,23,0.15216507518228556,0.4717195353349375,0.5013997163047716
scalarisation,0,4,72,0.47307,0.18429661129175878,23,0.10543475810733051,0.44696654029899074,0.5273865611828783
scalarisation,0,5,84,0.47577,0.17484003286833097,28,0.14226774823567784,0.45085711914777654,0.5519293472706744
scalarisation,0,6,96,0.48574,0.16730847899208026,32,0.13901228557904804,0.4257752504560342,0.5002925202918155
scalarisation,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
scalarisation,1,1,36,0.33672,0.24909193189633805,14,0.056341842343606424,0.43476082982622083,0.4416319502726236
scalarisation,1,2,48,0.43607,0.20454381352915674,19,0.09177624476785567,0.3983157455395301,0.4748340687978388
scalarisation,1,3,60,0.44262,0.2017096470356647,23,0.10130897724989847,0.3795337436044697,0.42697881489014367
scalarisation,1,4,72,0.47203,0.19824631279993643,25,0.08540847579726445,0.3650182539385379,0.37541452426955124
scalarisation,1,5,84,0.48541,0.18258178471997175,34,0.09578260626523828,0.3798579879245606,0.42118881171586253
scalarisation,1,6,96,0.49034,0.17432343019738739,39,0.1233425353432465,0.3800216727773399,0.4910691484518201
scalarisation,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
scalarisation,2,1,36,0.37168,0.21686609194975429,15,0.20186110621464645,0.4496165411213549,0.4980852205818205
scalarisation,2,2,48,0.40477,0.20986197141629878,17,0.19175386753799023,0.42666778462429716,0.38145158483605984
scalarisation,2,3,60,0.44145,0.19373090159433684,21,0.17547707131063917,0.43076722859459454,0.5166253179142348
scalarisation,2,4,72,0.44767,0.18756495141650167,26,0.1611553026302206,0.4264243732636699,0.5521973730467538
scalarisation,2,5,84,0.44798,0.18624662866215838,29,0.16084721879020727,0.4214292866966242,0.5421413980669113
scalarisation,2,6,96,0.45929,0.17529090588551713,34,0.15196595324212067,0.4074446305895966,0.46861274414800086
